model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.9920002568100543,root_mean_squared_error,0.28214216232299805,163.63761377334595,0.0017595291137695312,0.04995560646057129,2,True,10
ExtraTreesMSE,-1.0027085316376843,root_mean_squared_error,0.20842266082763672,7.02256178855896,0.20842266082763672,7.02256178855896,1,True,5
CatBoost,-1.0071718530267193,root_mean_squared_error,0.00406956672668457,6.168862819671631,0.00406956672668457,6.168862819671631,1,True,4
LightGBMXT,-1.0358171823856785,root_mean_squared_error,0.02233600616455078,6.793426990509033,0.02233600616455078,6.793426990509033,1,True,1
LightGBMLarge,-1.0771480821845534,root_mean_squared_error,0.00434422492980957,7.169275283813477,0.00434422492980957,7.169275283813477,1,True,9
LightGBM,-1.0949441539149347,root_mean_squared_error,0.013375282287597656,2.324859142303467,0.013375282287597656,2.324859142303467,1,True,2
RandomForestMSE,-1.1084615491025651,root_mean_squared_error,0.20748209953308105,2.3744661808013916,0.20748209953308105,2.3744661808013916,1,True,3
NeuralNetTorch,-1.1129771418824395,root_mean_squared_error,0.045554399490356445,143.60280656814575,0.045554399490356445,143.60280656814575,1,True,8
NeuralNetFastAI,-1.1436603282907594,root_mean_squared_error,0.021233081817626953,4.6015331745147705,0.021233081817626953,4.6015331745147705,1,True,6
XGBoost,-1.1897967598392754,root_mean_squared_error,0.011973381042480469,2.744354724884033,0.011973381042480469,2.744354724884033,1,True,7
