return period,return value,lower ci,upper ci
1.0,6.913896045639576,6.242487254040546,7.949866126255289
2.0,7.777692792899975,6.995908767401465,9.001988182777461
5.0,8.9107660209582,7.982331925942951,10.384685499028246
10.0,9.764864158709873,8.724326262386406,11.427361827034938
25.0,10.892208500389813,9.702082572020487,12.806184593018413
50.0,11.744411731462707,10.441236528883518,13.849702495808074
100.0,12.596379121859744,11.180134196623772,14.892623987369552
250.0,13.722448618190391,12.155707039883952,16.27194053903778
500.0,14.574227498811183,12.892905120008026,17.313979647826976
1000.0,15.425982825872348,13.630472586183956,18.357037645503908
